Address,Response_X,Response_Y
富山村漁場1號,121.188693,22.81963
卑南鄉富源村8鄰富源116號,121.149904,22.812187
卑南鄉溫泉路192號,121.028465,22.702638
卑南鄉溫泉村溫泉路376巷18號,121.022182,22.696991
卑南鄉溫泉村鎮樂路1號,121.021598,22.693028
卑南鄉龍泉路30號,121.019876,22.692402
卑南鄉溫泉村龍泉路35號,121.018002,22.692329
卑南鄉溫泉村民生路22號?,121.046122,22.741837
卑南鄉龍泉路53巷3號,121.014152,22.692661
卑南鄉溫泉村龍泉路55號,121.014645,22.693183
卑南鄉溫泉村龍泉路57號,121.014358,22.693269
卑南鄉溫泉村龍泉路61號,121.013463,22.693221
卑南鄉龍泉路63號,121.013656,22.693003
卑南鄉溫泉村龍泉路113巷23號,121.007451,22.690363
卑南鄉溫泉村龍泉路118號,121.004811,22.693303
卑南鄉溫泉村龍泉路136巷2號?,121.00462,22.692634
卑南鄉溫泉村龍泉路139巷1號,120.999054,22.690401
卑南鄉溫泉村龍泉路147號,120.996381,22.690867
卑南鄉溫泉村樂山路127-1號?,121.007294,22.67774
卑南鄉溫泉村溫泉路68號,121.032022,22.703396
卑南鄉嘉豐村稻葉路16號,121.115512,22.882583
賓朗路133巷55號,121.101693,22.793538
台東縣延平鄉桃源村11鄰昇平路191號,121.090785,22.906635
延平鄉昇平路192-8號,121.08902,22.906421
延平鄉昇平路201-5號,121.091539,22.91512
延平鄉桃園村11鄰昇平路205號?,121.092018,22.910775
延平鄉桃園村11鄰昇平路205號?,121.092018,22.910775
延平鄉桃源村昇平路6-1號?,121.087742,22.903917
延平鄉桃源村昇平路6-1號?,121.087742,22.903917
北源村45鄰67號,121.300362,23.074717
東河鄉東河村北東河1號,121.305888,22.969667
東河鄉東河村北東河49號,121.303663,22.974626
東河鄉都蘭部落102號,121.306227,22.973298
東河鄉北東河125號,121.30613,22.973987
東河鄉北東河139號,121.305314,22.974107
東河鄉南東河60號,121.301514,22.966076
東河鄉南東河99號?,121.300877,22.966481
東河鄉東河村南東河182號,121.302277,22.966653
東河鎮都蘭村89號,121.193319,22.881297
東河鄉都蘭村五線60-7號,121.213949,22.867941
東河鄉都蘭村18鄰57-3號,121.222541,22.873735
東河鄉都蘭村18鄰都蘭59之5號,121.221907,22.875442
東河鄉都蘭村98號,121.227633,22.873049
都蘭村124號,121.22619,22.872962
都蘭村124號,121.22619,22.872962
東河鄉都蘭村134號,121.227186,22.873242
東河鄉都蘭村146-2號,121.227123,22.873564
東河鄉都蘭村225-6號,121.229727,22.874794
東河鄉都蘭420-9號,121.22623,22.876282
東河鄉都蘭村45鄰新社3-6號,121.213774,22.874514
東河鄉都蘭村新社30-3號?,121.2198,22.878571
東河鄉都蘭村新社30-6號,121.220107,22.880179
東河鄉都蘭村48鄰舊?21-1號,121.233636,22.887712
都蘭村那界8-1號,121.20076,22.860143
東河鄉那界5-2號,121.2009,22.860275
東河鄉隆昌村七里橋路一之一號,121.260437,22.918354
東河鄉隆昌村隆昌3之9號,121.264807,22.920845
東河鄉東河鄉隆昌村七里橋10-2號?,121.276753,22.943076
東河鄉隆昌村七里橋17號,121.282366,22.950994
東河鄉興昌村94號,121.247371,22.893699
東河鄉興昌172號,121.244431,22.898081
東河鄉興昌村農場2-3號 東河鄉興昌村農場2-3號,121.246699,22.90085
東河鄉興昌村南八里8之15號,121.234464,22.897471
東河鄉興昌村羊橋26-1號,121.251491,22.901364
東河鄉興昌村南八里11-10號,121.238881,22.890893
東河鄉興昌村南八里11-5號?,121.237487,22.895415
金峰鄉新興村1鄰8之1號,121.000974,22.632968
金峰鄉新興村新興64號,121.000667,22.634933
長濱鄉三間村真柄47之17號?,121.452478,23.344898
長濱鄉三間村三間屋1-7號,121.468349,23.350031
長濱鄉三間村三間屋1-8號,121.468671,23.350574
長濱鄉竹湖村一鄰41號,121.427277,23.281866
長濱鄉竹湖47號,121.427488,23.282616
長濱鄉竹湖村61號?,121.427988,23.284375
長濱鄉竹湖村15鄰南竹湖17-3號,121.423768,23.274298
長濱鄉南竹湖26-3號,121.422929,23.277384
長濱鄉南竹湖26-3號,121.422929,23.277384
長濱鄉南竹湖26-3號,121.422929,23.277384
長濱鄉南竹湖34-6號,121.41925,23.275706
忠勇村83-3號,121.429783,23.332318
長濱鄉忠勇村黎頭針9鄰1-3號,121.4494,23.335056
長濱鄉忠勇村黎頭針9鄰1-3號,121.4494,23.335056
長濱鄉長濱村1鄰田組1-5號,121.440216,23.303598
長濱鄉長濱村長光154號,121.462603,23.330421
長濱鄉寧埔村烏石鼻42之5號,121.414263,23.230191
長濱鄉寧埔村烏石鼻42之5號,121.414263,23.230191
長濱鄉烏石鼻46之5號,121.413625,23.226731
長濱鄉寧埔村6鄰5-10號,121.414638,23.248297
長濱鄉寧埔村6鄰5-10號,121.414638,23.248297
長濱鄉樟原村大峰峰15號?,121.493844,23.433291
